# AEROCUBE 6A TLE list generated on 2018-09-21 15:08:40.883252
# epoch, line1, line2 
2018-03-01 14:10:06.554496, 1 40045U 14033AM  18060.59035364 +.00000260 +00000-0 +45083-4 0  9996, 2 40045 097.8403 303.6598 0057856 178.9333 181.2010 14.75069430198421
2018-03-02 04:49:15.116160, 1 40045U 14033AM  18061.20086940  .00000264  00000-0  45684-4 0  9992, 2 40045  97.8402 304.2513 0057907 176.9541 183.2033 14.75069838198755
2018-03-03 05:14:29.358240, 1 40045U 14033AM  18062.21839535  .00000270  00000-0  46498-4 0  9991, 2 40045  97.8400 305.2371 0057978 173.6590 186.5366 14.75070468198905
2018-03-04 07:17:24.500256, 1 40045U 14033AM  18063.30375579  .00000263  00000-0  45547-4 0  9991, 2 40045  97.8398 306.2886 0058057 170.1362 190.1002 14.75071147199062
2018-03-05 12:35:41.478432, 1 40045U 14033AM  18064.52478563  .00000245  00000-0  42940-4 0  9997, 2 40045  97.8396 307.4715 0058150 166.1932 194.0884 14.75071845199242
2018-03-06 14:38:36.511584, 1 40045U 14033AM  18065.61014481 +.00000254 +00000-0 +44245-4 0  9993, 2 40045 097.8394 308.5230 0058231 162.6989 197.6223 14.75072559199167
2018-03-07 15:03:50.551488, 1 40045U 14033AM  18066.62766842 +.00000266 +00000-0 +45828-4 0  9991, 2 40045 097.8392 309.5087 0058309 159.4264 200.9313 14.75073259199315
2018-03-08 04:05:18.017952, 1 40045U 14033AM  18067.17034743  .00000255  00000-0  44361-4 0  9999, 2 40045  97.8392 310.0344 0058357 157.6814 202.6955 14.75073585199630
2018-03-09 04:30:31.983552, 1 40045U 14033AM  18068.18787018  .00000259  00000-0  44817-4 0  9991, 2 40045  97.8391 311.0201 0058443 154.4109 206.0014 14.75074268199789
2018-03-10 04:55:45.896448, 1 40045U 14033AM  18069.20539232  .00000276  00000-0  47375-4 0  9999, 2 40045  97.8390 312.0058 0058520 151.1488 209.2978 14.75074976199936
2018-03-11 13:29:24.340128, 1 40045U 14033AM  18070.56208727  .00000312  00000-0  52475-4 0  9990, 2 40045  97.8388 313.3199 0058620 146.8048 213.6861 14.75076059200136
2018-03-12 07:23:54.446784, 1 40045U 14033AM  18071.30826906 +.00000298 +00000-0 +50417-4 0  9995, 2 40045 097.8388 314.0427 0058677 144.4171 216.0973 14.75076496200003
2018-03-13 12:42:10.919520, 1 40045U 14033AM  18072.52929305 +.00000314 +00000-0 +52806-4 0  9990, 2 40045 097.8387 315.2255 0058768 140.5195 220.0318 14.75077373200180
2018-03-14 03:21:19.116576, 1 40045U 14033AM  18073.13980459  .00000327  00000-0  54594-4 0  9995, 2 40045  97.8386 315.8168 0058811 138.5706 221.9985 14.75077855200514
2018-03-15 03:46:32.723616, 1 40045U 14033AM  18074.15732319  .00000341  00000-0  56631-4 0  9998, 2 40045  97.8384 316.8024 0058880 135.3370 225.2605 14.75078617200661
2018-03-16 07:27:08.038944, 1 40045U 14033AM  18075.31050971  .00000372  00000-0  61075-4 0  9996, 2 40045  97.8383 317.9193 0058964 131.6617 228.9662 14.75079707200838
2018-03-17 07:52:21.468864, 1 40045U 14033AM  18076.32802626  .00000395  00000-0  64405-4 0  9995, 2 40045  97.8381 318.9048 0059032 128.4238 232.2292 14.75080671200981
2018-03-18 13:10:37.500960, 1 40045U 14033AM  18077.54904515  .00000395  00000-0  64394-4 0  9997, 2 40045  97.8379 320.0874 0059099 124.5468 236.1339 14.75081591201162
2018-03-19 13:35:50.729568, 1 40045U 14033AM  18078.56655937 +.00000425 +00000-0 +68813-4 0  9995, 2 40045 097.8376 321.0728 0059159 121.3200 239.3819 14.75082746201075
2018-03-20 14:01:03.883008, 1 40045U 14033AM  18079.58407272 +.00000415 +00000-0 +67270-4 0  9990, 2 40045 097.8375 322.0583 0059228 118.0954 242.6260 14.75083693201226
2018-03-21 14:26:16.957824, 1 40045U 14033AM  18080.60158516 +.00000404 +00000-0 +65693-4 0  9994, 2 40045 097.8373 323.0437 0059280 114.8712 245.8676 14.75084571201375
2018-03-22 14:51:29.950560, 1 40045U 14033AM  18081.61909665 +.00000386 +00000-0 +63036-4 0  9993, 2 40045 097.8372 324.0291 0059330 111.6561 249.0981 14.75085358201522
2018-03-23 13:39:01.996704, 1 40045U 14033AM  18082.56877311 +.00000375 +00000-0 +61439-4 0  9993, 2 40045 097.8370 324.9488 0059375 108.6548 252.1120 14.75086164201668
2018-03-24 04:18:09.700416, 1 40045U 14033AM  18083.17927894  .00000358  00000-0  59097-4 0  9991, 2 40045  97.8370 325.5400 0059410 106.7318 254.0423 14.75086649201994
2018-03-25 04:43:22.470240, 1 40045U 14033AM  18084.19678785  .00000391  00000-0  63867-4 0  9993, 2 40045  97.8369 326.5254 0059445 103.5176 257.2666 14.75087710202147
2018-03-26 13:16:59.369088, 1 40045U 14033AM  18085.55346492  .00000384  00000-0  62748-4 0  9990, 2 40045  97.8367 327.8391 0059478  99.2409 261.5534 14.75088749202344
2018-03-27 13:42:11.948832, 1 40045U 14033AM  18086.57097163  .00000369  00000-0  60662-4 0  9997, 2 40045  97.8365 328.8244 0059505  96.0390 264.7605 14.75089516202498
2018-03-28 14:07:24.440448, 1 40045U 14033AM  18087.58847732 +.00000361 +00000-0 +59506-4 0  9991, 2 40045 097.8364 329.8097 0059537 092.8400 267.9626 14.75090341202402
2018-03-29 14:32:36.844800, 1 40045U 14033AM  18088.60598200 +.00000376 +00000-0 +61712-4 0  9996, 2 40045 097.8363 330.7949 0059557 089.6307 271.1726 14.75091261202556
2018-03-30 05:11:44.247840, 1 40045U 14033AM  18089.21648435  .00000363  00000-0  59695-4 0  9993, 2 40045  97.8362 331.3861 0059570  87.7111 273.0917 14.75091682202888
2018-03-31 08:52:18.155712, 1 40045U 14033AM  18090.36965458  .00000338  00000-0  56136-4 0  9997, 2 40045  97.8360 332.5027 0059598  84.0749 276.7249 14.75092487203052
2018-04-01 14:10:32.763072, 1 40045U 14033AM  18091.59065698 +.00000330 +00000-0 +54991-4 0  9999, 2 40045 097.8358 333.6850 0059613 080.2341 280.5594 14.75093451202999
2018-04-02 14:35:44.845152, 1 40045U 14033AM  18092.60815793 +.00000334 +00000-0 +55583-4 0  9993, 2 40045 097.8356 334.6702 0059618 077.0332 283.7525 14.75094253203141
2018-04-03 05:14:52.059840, 1 40045U 14033AM  18093.21865810  .00000333  00000-0  55388-4 0  9998, 2 40045  97.8355 335.2613 0059621  75.1161 285.6641 14.75094699203471
2018-04-04 21:56:51.934272, 1 40045U 14033AM  18094.91448998  .00000323  00000-0  54025-4 0  9996, 2 40045  97.8352 336.9032 0059615  69.7821 290.9785 14.75095999203489
2018-04-05 06:05:15.881856, 1 40045U 14033AM  18095.25365604 +.00000335 +00000-0 +55788-4 0  9996, 2 40045 097.8351 337.2315 0059608 068.7156 292.0404 14.75096341203537
2018-04-06 03:15:06.115680, 1 40045U 14033AM  18096.13548745  .00000321  00000-0  53701-4 0  9991, 2 40045  97.8350 338.0853 0059596  65.9400 294.8030 14.75096913203900
2018-04-07 15:04:03.292896, 1 40045U 14033AM  18097.62781589  .00000316  00000-0  52982-4 0  9995, 2 40045  97.8348 339.5301 0059560  61.2430 299.4745 14.75097985204123
2018-04-08 13:51:34.132032, 1 40045U 14033AM  18098.57747838 +.00000315 +00000-0 +52798-4 0  9993, 2 40045 097.8347 340.4495 0059539 058.2587 302.4405 14.75098736204024
2018-04-09 14:16:45.684480, 1 40045U 14033AM  18099.59497320 +.00000340 +00000-0 +56463-4 0  9995, 2 40045 097.8347 341.4346 0059509 055.0461 305.6318 14.75099613204172
2018-04-10 04:55:52.567392, 1 40045U 14033AM  18100.20546953  .00000385  00000-0  63014-4 0  9992, 2 40045  97.8347 342.0256 0059490  53.1251 307.5391 14.75100342204505
